 Date,EURUSD Open,EURUSD Low,EURUSD High,EURUSD Close,EURUSD SMA (200D),EURUSD SMA (50D)
12-01-2020,1.1938,1.1935,1.1986,1.1977,1.1416,1.179
11-30-2020,1.1962,1.1928,1.2003,1.1928,1.141,1.1784
11-27-2020,1.1913,1.1908,1.1965,1.196,1.1405,1.1781
11-26-2020,1.1914,1.1887,1.1941,1.1912,1.14,1.1779
11-25-2020,1.1892,1.1882,1.1929,1.1924,1.1394,1.1778
11-24-2020,1.1841,1.1836,1.1894,1.1892,1.1388,1.1776
11-23-2020,1.1855,1.1801,1.1906,1.1839,1.1383,1.1775
11-20-2020,1.1875,1.1851,1.189,1.1858,1.1378,1.1775
11-19-2020,1.1857,1.1818,1.188,1.1879,1.1373,1.1775
11-18-2020,1.1863,1.1851,1.189,1.1853,1.1368,1.1774
11-17-2020,1.1854,1.1844,1.1894,1.1866,1.1363,1.1773
11-16-2020,1.184,1.1806,1.1868,1.1852,1.1358,1.1771
11-13-2020,1.1806,1.18,1.1835,1.1833,1.1353,1.177
11-12-2020,1.1777,1.1759,1.1822,1.1807,1.1349,1.177
11-11-2020,1.1813,1.1747,1.1832,1.178,1.1345,1.1771
11-10-2020,1.1813,1.1781,1.1842,1.1806,1.1341,1.1773
11-09-2020,1.1889,1.1796,1.1919,1.1812,1.1337,1.1775
11-06-2020,1.1828,1.1797,1.1891,1.1879,1.1333,1.1777
11-05-2020,1.1725,1.1712,1.186,1.1826,1.1329,1.1778
11-04-2020,1.1717,1.1605,1.1769,1.1716,1.1325,1.1778
11-03-2020,1.1642,1.1634,1.1739,1.1702,1.1322,1.178
11-02-2020,1.165,1.1623,1.1655,1.1638,1.1318,1.1783
10-30-2020,1.1673,1.1641,1.1703,1.1646,1.1315,1.1786
10-29-2020,1.1746,1.165,1.1758,1.1673,1.1312,1.1789
10-28-2020,1.1795,1.1718,1.1795,1.1746,1.1309,1.1792
10-27-2020,1.1811,1.1793,1.1837,1.1795,1.1306,1.1794
10-26-2020,1.1855,1.1803,1.1859,1.1809,1.1302,1.1797
10-23-2020,1.182,1.1787,1.1864,1.1861,1.1299,1.1798
10-22-2020,1.186,1.1815,1.1866,1.1818,1.1295,1.1798
10-21-2020,1.1822,1.1822,1.188,1.1861,1.1291,1.1798
10-20-2020,1.1768,1.1762,1.184,1.1822,1.1288,1.1796
10-19-2020,1.1717,1.1704,1.1793,1.177,1.1284,1.1794
10-16-2020,1.1707,1.1694,1.1744,1.1716,1.1281,1.1794
10-15-2020,1.1748,1.1689,1.1757,1.1707,1.1278,1.1795
10-14-2020,1.1746,1.1721,1.1769,1.1746,1.1275,1.1799
10-13-2020,1.1812,1.1731,1.1816,1.1745,1.1272,1.1801
10-12-2020,1.1816,1.1788,1.1827,1.1812,1.1269,1.1802
10-09-2020,1.1758,1.1754,1.1829,1.1828,1.1266,1.1801
10-08-2020,1.1765,1.1733,1.178,1.1761,1.1263,1.18
10-07-2020,1.1736,1.1725,1.1781,1.1764,1.126,1.1802
10-06-2020,1.1783,1.1733,1.1806,1.1734,1.1257,1.1802
10-05-2020,1.1716,1.171,1.1796,1.1785,1.1254,1.1802
10-02-2020,1.1746,1.1698,1.1747,1.1717,1.1251,1.1801
10-01-2020,1.1722,1.1718,1.1769,1.1746,1.1248,1.18
09-30-2020,1.1743,1.1686,1.1755,1.1721,1.1245,1.1797
09-29-2020,1.1666,1.1662,1.1745,1.1743,1.1242,1.1794
09-28-2020,1.1625,1.1616,1.1671,1.1666,1.1239,1.179
09-25-2020,1.167,1.1613,1.1683,1.1631,1.1236,1.1785
09-24-2020,1.1674,1.1627,1.1687,1.1668,1.1233,1.1781
09-23-2020,1.1712,1.1653,1.1718,1.166,1.123,1.1776
09-22-2020,1.1771,1.1693,1.1774,1.1708,1.1228,1.1771
09-21-2020,1.1848,1.1732,1.1871,1.1772,1.1225,1.1765
09-18-2020,1.1847,1.1831,1.1869,1.1844,1.1222,1.1756
09-17-2020,1.1816,1.1744,1.1852,1.1848,1.1218,1.1745
09-16-2020,1.1846,1.1791,1.1881,1.1817,1.1215,1.1734
09-15-2020,1.1889,1.184,1.1899,1.1846,1.1211,1.1724
09-14-2020,1.1837,1.1833,1.1887,1.1864,1.1207,1.1713
09-11-2020,1.1813,1.1812,1.1873,1.1844,1.1203,1.1702
